price_juta,surface_area,building_area,bed,bath,carport,district,city,description,url
1790.0,120,110,3,3,2,Ngaglik,Sleman,Rumah 2 Lantai Baru  di jalan Palagan Sleman Yogyakarta,https://www.rumah123.com/properti/sleman/hos17166670/
170.0,102,126,3,2,1,Jombor,Sleman,RUMAH BARU DEKAT AL AZHAR DAN UGM,https://www.rumah123.com/properti/sleman/hos17166674/
695.0,100,100,2,2,1,Berbah,Sleman,RUMAH ASRI DAN SEJUK DI BERBAH SLEMAN DEKAT PASAR WISATA ALAM,https://www.rumah123.com/properti/sleman/hos17166621/
560.0,109,67,3,1,1,Prambanan,Sleman,Rumah Murah 5 Menit Dari Candi Prambanan Tersisa 1 Unit,https://www.rumah123.com/properti/sleman/hos17166607/
200.0,60,30,2,1,1,Moyudan,Sleman,Rumah Murah Cicilan 1jt Di Moyudan Sleman,https://www.rumah123.com/properti/sleman/hos17166601/
1470.0,125,157,5,3,1,Depok,Sleman,RUMAH 2 LANTAI MANGKU JALAN ASPAL DEPOK MAGUWOHARJO SLEMAN,https://www.rumah123.com/properti/sleman/hos17166561/
560.0,109,67,3,1,1,Prambanan,Sleman,Tersisa 1 Unit Rumah Murah 5 Menit Dari Candi Prambanan,https://www.rumah123.com/properti/sleman/hos17166576/
1600.0,300,200,5,4,2,Ngaglik,Sleman,2 Rumah dengan Tanah luas Dekat Pasar Jangkang,https://www.rumah123.com/properti/sleman/hos17166510/
875.0,145,85,3,2,1,Ngaglik,Sleman,Rumah baru cluster Jalan kaliurang km 13,https://www.rumah123.com/properti/sleman/hos17166476/
570.0,83,50,2,1,1,Ngaglik,Sleman,Rumah minimalis timur pasar gentan jakal,https://www.rumah123.com/properti/sleman/hos17166436/
300.0,60,30,2,1,1,Sedayu,Bantul,Miliki Hunian Smart Home Dengan Harga Murah Akses Mudah Ke Yia,https://www.rumah123.com/properti/bantul/hos16317386/
750.0,140,90,4,2,1,Ngemplak,Sleman,Rumah Luas dalam Perumahan 12 menit ke Ringroad Maguwoharho,https://www.rumah123.com/properti/sleman/hos17113067/
1850.0,166,200,4,4,2,Ngaglik,Sleman,Rumah Cluster Belakang Taman Palagan Asri,https://www.rumah123.com/properti/sleman/hos17166400/
745.0,209,180,3,1,3,Piyungan,Bantul,Dijual Rumah Murah  Bangunan Kokoh kontruksi bagus dak beton,https://www.rumah123.com/properti/bantul/hos17166375/
1700.0,169,125,4,3,2,Depok,Sleman,Rumah Furnished 2 Lantai dekat SD Model,https://www.rumah123.com/properti/sleman/hos17166329/
455.0,61,45,2,1,1,Umbulharjo,Yogyakarta,Rumah Baru 400 Jutaan Tamanan Banguntapan,https://www.rumah123.com/properti/yogyakarta/hos17166296/
1100.0,171,150,4,3,2,Ngaglik,Sleman,Rumah Cantik terawat Utara Stadion Maguwo,https://www.rumah123.com/properti/sleman/hos17166238/
850.0,135,80,3,2,1,Godean,Sleman,"Rumah Murah Siap Huni, Free Kitchen Set Di Godean, Sleman",https://www.rumah123.com/properti/sleman/hos17166237/
3500.0,349,400,7,7,2,Depok,Sleman,Rumah besar strategis Condongcatur,https://www.rumah123.com/properti/sleman/hos17166212/
1300.0,134,200,3,2,1,Umbulharjo,Yogyakarta,Jual Rumah di Wirosaban Yogyakarta Dekat UAD,https://www.rumah123.com/properti/yogyakarta/hos17166150/
1850.0,135,165,4,3,2,Ngaglik,Sleman,Rumah baru Desain Modern Jalan Kaliurang KM 12,https://www.rumah123.com/properti/sleman/hos17166124/
5500.0,275,275,3,2,1,Depok,Sleman,RUMAH DIJUAL CEPAT DI CATUR TUNGGAL DEPOK SLEMAN,https://www.rumah123.com/properti/sleman/hos17166111/
4750.0,267,340,5,6,2,Mlati,Sleman,Rumah Mewah Full Furnish Kolam Renang Di JL. Palagan KM. 7,https://www.rumah123.com/properti/sleman/hos17166095/
1400.0,205,150,3,2,2,Depok,Sleman,RUMAH BARU MAGUWOHARJO DEPOK SLEMAN DEKAT LOTTTE MART BANDARA,https://www.rumah123.com/properti/sleman/hos17166035/
765.0,109,80,3,2,2,Gamping,Sleman,Homestay Dalam Perumahan Sidoarum,https://www.rumah123.com/properti/sleman/hos17166034/
2200.0,139,125,3,3,1,Condong Catur,Sleman,"Dijual Rumah Mewah Di Sleman Dekat Upn, Fasilitas Lengkap",https://www.rumah123.com/properti/sleman/hos17166029/
3100.0,146,290,5,3,1,Kasihan,Bantul,RUMAH DIJUAL CEPAT DI PONDOK PERMAI KADIPIRO JALAN WATES,https://www.rumah123.com/properti/bantul/hos17166011/
2500.0,128,130,6,4,1,Bantul,Bantul,RUMAH DIJUAL CEPAT DI PERUM LAGUNA SPRING JALAN WONOSARI,https://www.rumah123.com/properti/bantul/hos17165952/
1950.0,128,188,3,3,1,Depok,Sleman,"Dijual Rumah 2 Lantai Mewah, Lokasi Startegis Dekat Kampus Rs",https://www.rumah123.com/properti/sleman/hos17165928/
1080.0,147,85,3,2,2,Ngaglik,Sleman,Rumah Baru Modern Jalan Kaliurang Km 13,https://www.rumah123.com/properti/sleman/hos17165912/
